category,province,city,district,canonical_url,primary_keyword,secondary_keyword_1,secondary_keyword_2,open_count,coordinate_count,data_quality,seo_status,current_title,proposed_title,current_h1,proposed_h1,priority
"COST_REGION","부산광역시","","","https://pet.dudle.co.kr/cost/busan","부산 동물병원 진료비","부산 동물병원 진료비 2025 공식 통계","부산 동물병원 진료비 진료비 비교","35","0","MEDIUM","SEO_READY","부산 동물병원 진료비·가격 통계","부산 동물병원 진료비 | 2025 공식 통계","부산 동물병원 진료비","부산 동물병원 진료비","P0"
"COST_REGION","부산광역시","중구","","https://pet.dudle.co.kr/cost/busan/r-26110","부산 중구 동물병원 진료비","부산 중구 동물병원 진료비 2025 공식 통계","부산 중구 동물병원 진료비 진료비 비교","29","0","MEDIUM","SEO_READY","부산 중구 동물병원 진료비·가격 통계","부산 중구 동물병원 진료비 | 2025 공식 통계","부산 중구 동물병원 진료비","부산 중구 동물병원 진료비","P1"
"COST_REGION","부산광역시","서구","","https://pet.dudle.co.kr/cost/busan/r-26140","부산 서구 동물병원 진료비","부산 서구 동물병원 진료비 2025 공식 통계","부산 서구 동물병원 진료비 진료비 비교","29","0","MEDIUM","SEO_READY","부산 서구 동물병원 진료비·가격 통계","부산 서구 동물병원 진료비 | 2025 공식 통계","부산 서구 동물병원 진료비","부산 서구 동물병원 진료비","P1"
"COST_REGION","부산광역시","동구","","https://pet.dudle.co.kr/cost/busan/r-26170","부산 동구 동물병원 진료비","부산 동구 동물병원 진료비 2025 공식 통계","부산 동구 동물병원 진료비 진료비 비교","25","0","MEDIUM","SEO_READY","부산 동구 동물병원 진료비·가격 통계","부산 동구 동물병원 진료비 | 2025 공식 통계","부산 동구 동물병원 진료비","부산 동구 동물병원 진료비","P1"
"COST_REGION","부산광역시","영도구","","https://pet.dudle.co.kr/cost/busan/r-26200","영도구 동물병원 진료비","영도구 동물병원 진료비 2025 공식 통계","영도구 동물병원 진료비 진료비 비교","25","0","MEDIUM","SEO_READY","영도구 동물병원 진료비·가격 통계","영도구 동물병원 진료비 | 2025 공식 통계","영도구 동물병원 진료비","영도구 동물병원 진료비","P1"
"COST_REGION","부산광역시","부산진구","","https://pet.dudle.co.kr/cost/busan/r-26230","부산진구 동물병원 진료비","부산진구 동물병원 진료비 2025 공식 통계","부산진구 동물병원 진료비 진료비 비교","29","0","MEDIUM","SEO_READY","부산진구 동물병원 진료비·가격 통계","부산진구 동물병원 진료비 | 2025 공식 통계","부산진구 동물병원 진료비","부산진구 동물병원 진료비","P1"
"COST_REGION","부산광역시","동래구","","https://pet.dudle.co.kr/cost/busan/r-26260","동래구 동물병원 진료비","동래구 동물병원 진료비 2025 공식 통계","동래구 동물병원 진료비 진료비 비교","31","0","MEDIUM","SEO_READY","동래구 동물병원 진료비·가격 통계","동래구 동물병원 진료비 | 2025 공식 통계","동래구 동물병원 진료비","동래구 동물병원 진료비","P1"
"COST_REGION","부산광역시","남구","","https://pet.dudle.co.kr/cost/busan/r-26290","부산 남구 동물병원 진료비","부산 남구 동물병원 진료비 2025 공식 통계","부산 남구 동물병원 진료비 진료비 비교","35","0","MEDIUM","SEO_READY","부산 남구 동물병원 진료비·가격 통계","부산 남구 동물병원 진료비 | 2025 공식 통계","부산 남구 동물병원 진료비","부산 남구 동물병원 진료비","P1"
"COST_REGION","부산광역시","북구","","https://pet.dudle.co.kr/cost/busan/r-26320","부산 북구 동물병원 진료비","부산 북구 동물병원 진료비 2025 공식 통계","부산 북구 동물병원 진료비 진료비 비교","29","0","MEDIUM","SEO_READY","부산 북구 동물병원 진료비·가격 통계","부산 북구 동물병원 진료비 | 2025 공식 통계","부산 북구 동물병원 진료비","부산 북구 동물병원 진료비","P1"
"COST_REGION","부산광역시","해운대구","","https://pet.dudle.co.kr/cost/busan/r-26350","해운대구 동물병원 진료비","해운대구 동물병원 진료비 2025 공식 통계","해운대구 동물병원 진료비 진료비 비교","29","0","MEDIUM","SEO_READY","해운대구 동물병원 진료비·가격 통계","해운대구 동물병원 진료비 | 2025 공식 통계","해운대구 동물병원 진료비","해운대구 동물병원 진료비","P0"
